tweet_id,timestamp,reply,retweet,text,name,doggo,floofer,pupper,puppo,full_text,reply_json,retweet_json,favorite_count,retweet_count,rating_numerator,rating_denominator,image_name,image_number
892420643555336193,2017-08-01 16:23:56,False,False,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,None,None,None,None,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,,39467,8853,13.0,10.0,DGKD1-bXoAAIAUK.jpg,1.0
892177421306343426,2017-08-01 00:17:27,False,False,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,None,None,None,None,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,,33819,6514,13.0,10.0,DGGmoV4XsAAUL6n.jpg,1.0
891815181378084864,2017-07-31 00:18:03,False,False,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,None,None,None,None,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,,25461,4328,12.0,10.0,DGBdLU1WsAANxJ9.jpg,1.0
891689557279858688,2017-07-30 15:58:51,False,False,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,None,None,None,None,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,,42908,8964,13.0,10.0,DF_q7IAWsAEuuN8.jpg,1.0
891327558926688256,2017-07-29 16:00:24,False,False,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,None,None,None,None,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,,41048,9774,12.0,10.0,DF6hr6BUMAAzZgT.jpg,2.0
891087950875897856,2017-07-29 00:08:17,False,False,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,None,None,None,None,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,20562,3261,13.0,10.0,DF3HwyEWsAABqE6.jpg,1.0
890971913173991426,2017-07-28 16:27:12,False,False,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,None,None,None,None,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,,12041,2158,13.0,10.0,DF1eOmZXUAALUcq.jpg,1.0
890729181411237888,2017-07-28 00:22:40,False,False,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,None,None,None,None,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,56848,16716,13.0,10.0,DFyBahAVwAAhUTd.jpg,2.0
890609185150312448,2017-07-27 16:25:51,False,False,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,None,None,None,None,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,,28226,4429,13.0,10.0,DFwUU__XcAEpyXI.jpg,1.0
890240255349198849,2017-07-26 15:59:51,False,False,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,None,None,None,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,32467,7711,14.0,10.0,DFrEyVuW0AAO3t9.jpg,1.0
890006608113172480,2017-07-26 00:31:25,False,False,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,None,None,None,None,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,,,31166,7624,13.0,10.0,DFnwSY4WAAAMliS.jpg,1.0
889880896479866881,2017-07-25 16:11:53,False,False,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,None,None,None,None,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,,,28268,5156,13.0,10.0,DFl99B1WsAITKsg.jpg,1.0
